Player,Decade,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22
Magic Johnson,80s,18,21.6,18.6,16.8,17.6,18.3,18.8,23.9,19.6,22.5,22.3,19.4,,,,,,,,,,
Kareem Abdul-Jabbar,80s,28.8,31.7,34.8,30.2,27,30,27.7,26.2,25.8,23.8,24.8,26.2,23.9,21.8,21.5,22,23.4,17.5,14.6,10.1,,
Larry Bird,80s,21.3,21.2,22.9,23.6,24.2,28.7,25.8,28.1,29.9,19.3,24.3,19.4,20.2,,,,,,,,,
Julius Erving,80s,27.3,31.9,27.4,27.9,29.3,21.6,20.6,23.1,26.9,24.6,24.4,21.4,22.4,20,18.1,16.8,,,,,,
Moses Malone,80s,18.8,14.3,13.2,19.4,24.8,25.8,27.8,31.1,24.5,22.7,24.6,23.8,24.1,20.3,20.2,18.9,10.6,15.6,4.5,5.3,2.9,
Michael Jordan,90s,28.2,22.7,37.1,35,32.5,33.6,31.5,30.1,32.6,26.9,30.4,29.6,28.7,22.9,20,,,,,,,
John Stockton,90s,5.6,7.7,7.9,14.7,17.1,17.2,17.2,15.8,15.1,15.1,14.7,14.7,14.4,12,11.1,12.1,11.5,13.4,10.8,,,
Charles Barkley,90s,14,20,23,28.3,25.8,25.2,27.6,23.1,25.6,21.6,23,23.2,19.2,15.2,16.1,14.5,,,,,,
Shaquille O'Neal,90s,23.4,29.3,29.3,26.6,26.2,28.3,26.3,29.7,28.7,27.2,27.5,21.5,22.9,20,17.3,13.6,17.8,12,9.2,,,
Hakeem Olajuwon,90s,20.6,23.5,23.4,22.8,24.8,24.3,21.2,21.6,26.1,27.3,27.8,26.9,23.2,16.4,18.9,10.3,11.9,7.1,,,,
Kevin Garnett,00s,10.4,17,18.5,20.8,22.9,22,21.2,23,24.2,22.2,21.8,22.4,18.8,15.8,14.3,14.9,15.8,14.8,6.5,6.9,3.2,
Kobe Bryant,00s,7.6,15.4,19.9,22.5,28.5,25.2,30,24,27.6,35.4,31.6,28.3,26.8,27,25.3,27.9,27.3,13.8,22.3,17.6,,
Dirk Nowitzki,00s,8.2,17.5,21.8,23.4,25.1,21.8,26.1,26.6,24.6,23.6,25.9,25,23,21.6,17.3,21.7,17.3,18.3,14.2,12,7.3,
Tim Duncan,00s,21.1,21.7,23.2,22.2,25.5,23.3,22.3,20.3,18.6,20,19.3,19.3,17.9,13.4,15.4,17.8,15.1,13.9,8.6,,,
Allen Iverson,00s,23.5,22,26.8,28.4,31.1,31.4,27.6,26.4,30.7,33,26.3,26.4,17.5,13.8,,,,,,,,
Stephen Curry,10s,17.5,18.6,14.7,22.9,24,23.8,30.1,25.3,26.4,27.3,20.8,32,25.5,29.4,26.4,24.5,,,,,,
James Harden,10s,9.9,12.2,16.8,25.9,25.4,27.4,29,29.1,30.4,36.1,34.3,24.6,22,21,16.6,22.8,,,,,,
Kevin Durant,10s,20.3,25.3,30.1,27.7,28,28.1,32,25.4,28.2,25.1,26.4,26,26.9,29.9,29.1,27.1,26.6,,,,,
Lebron James,10s,20.9,27.2,31.4,27.3,30,28.4,29.7,26.7,27.1,26.8,27.1,25.3,25.3,26.4,27.5,27.4,25.3,25,30.3,28.9,25.7,24.4
Giannis Antetokounmpo,10s,6.8,12.7,16.9,22.9,26.9,27.7,29.5,28.1,29.9,31.1,30.4,30.4,,,,,,,,,,
Shai Gilgeous-Alexander,20s,10.8,19,23.7,24.5,31.4,30.1,32.7,,,,,,,,,,,,,,,
Luka Doncic,20s,21.2,28.8,27.7,28.4,32.4,33.9,28.2,,,,,,,,,,,,,,,
Anthony Edwards,20s,19.3,21.3,24.6,25.9,27.6,,,,,,,,,,,,,,,,,
Jayson Tatum,20s,13.9,15.7,23.4,26.4,26.9,30.1,26.9,26.8,,,,,,,,,,,,,,
Nikola Jokic,20s,10,16.7,18.5,20.1,19.9,26.4,27.1,24.5,26.4,29.6,,,,,,,,,,,,
